Vaccine,Dose,Geography Type,Geography,Birth Year/Birth Cohort,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Hep A,≥2 Doses,States/Local Areas,Wyoming,2016-2019,Insurance Coverage,Private Insurance Only,68.6,62.2 to 75.1,573
Hep A,≥2 Doses,States/Local Areas,Alabama,2016-2019,Insurance Coverage,Any Medicaid,73.6,64.3 to 83.0,404
Hep A,≥2 Doses,States/Local Areas,Alaska,2016-2019,Insurance Coverage,Any Medicaid,63.5,56.1 to 70.8,401
Hep A,≥2 Doses,States/Local Areas,Arizona,2016-2019,Insurance Coverage,Any Medicaid,76.7,68.9 to 84.5,335
Hep A,≥2 Doses,States/Local Areas,Arkansas,2016-2019,Insurance Coverage,Any Medicaid,73.6,67.1 to 80.1,559
Hep A,≥2 Doses,States/Local Areas,California,2016-2019,Insurance Coverage,Any Medicaid,75.8,67.5 to 84.2,421
Hep A,≥2 Doses,States/Local Areas,Colorado,2016-2019,Insurance Coverage,Any Medicaid,73.3,64.4 to 82.3,244
Hep A,≥2 Doses,States/Local Areas,Connecticut,2016-2019,Insurance Coverage,Any Medicaid,85.3,78.5 to 92.1,186
Hep A,≥2 Doses,States/Local Areas,Delaware,2016-2019,Insurance Coverage,Any Medicaid,76.1,70.0 to 82.2,409
Hep A,≥2 Doses,States/Local Areas,District of Columbia,2016-2019,Insurance Coverage,Any Medicaid,84,76.0 to 92.0,347
Hep A,≥2 Doses,States/Local Areas,Florida,2016-2019,Insurance Coverage,Any Medicaid,70.7,62.5 to 78.9,510
Hep A,≥2 Doses,States/Local Areas,Georgia,2016-2019,Insurance Coverage,Any Medicaid,75.7,66.5 to 85.0,344
Hep A,≥2 Doses,States/Local Areas,Hawaii,2016-2019,Insurance Coverage,Any Medicaid,67.9,60.3 to 75.6,323
Hep A,≥2 Doses,States/Local Areas,IL-City of Chicago,2016-2019,Insurance Coverage,Any Medicaid,77.3,64.5 to 90.1,242
Hep A,≥2 Doses,States/Local Areas,IL-Rest of state,2016-2019,Insurance Coverage,Any Medicaid,65.9,58.8 to 73.1,398
Hep A,≥2 Doses,States/Local Areas,Idaho,2016-2019,Insurance Coverage,Any Medicaid,83.7,75.0 to 92.4,521
Hep A,≥2 Doses,States/Local Areas,Illinois,2016-2019,Insurance Coverage,Any Medicaid,69.5,62.8 to 76.2,640
Hep A,≥2 Doses,States/Local Areas,Indiana,2016-2019,Insurance Coverage,Any Medicaid,70.3,63.2 to 77.5,440
Hep A,≥2 Doses,States/Local Areas,Iowa,2016-2019,Insurance Coverage,Any Medicaid,74.7,64.7 to 84.8,282
Hep A,≥2 Doses,States/Local Areas,Kansas,2016-2019,Insurance Coverage,Any Medicaid,67.1,58.1 to 76.2,299
Hep A,≥2 Doses,States/Local Areas,Kentucky,2016-2019,Insurance Coverage,Any Medicaid,75.6,67.6 to 83.5,335
Hep A,≥2 Doses,States/Local Areas,Louisiana,2016-2019,Insurance Coverage,Any Medicaid,66.5,60.4 to 72.6,654
Hep A,≥2 Doses,States/Local Areas,Maine,2016-2019,Insurance Coverage,Any Medicaid,75.6,68.0 to 83.1,349
Hep A,≥2 Doses,States/Local Areas,Maryland,2016-2019,Insurance Coverage,Any Medicaid,75.7,69.3 to 82.1,716
Hep A,≥2 Doses,States/Local Areas,Massachusetts,2016-2019,Insurance Coverage,Any Medicaid,81.7,73.2 to 90.2,237
Hep A,≥2 Doses,States/Local Areas,Michigan,2016-2019,Insurance Coverage,Any Medicaid,81.2,74.0 to 88.4,482
Hep A,≥2 Doses,States/Local Areas,Minnesota,2016-2019,Insurance Coverage,Any Medicaid,79.7,68.5 to 90.9,251
Hep A,≥2 Doses,States/Local Areas,Mississippi,2016-2019,Insurance Coverage,Any Medicaid,57.2,50.1 to 64.3,519
Hep A,≥2 Doses,States/Local Areas,Missouri,2016-2019,Insurance Coverage,Any Medicaid,64.4,54.6 to 74.2,413
Hep A,≥2 Doses,States/Local Areas,Montana,2016-2019,Insurance Coverage,Any Medicaid,68,58.0 to 78.0,338
Hep A,≥2 Doses,States/Local Areas,NY-City of New York,2016-2019,Insurance Coverage,Any Medicaid,72.4,65.5 to 79.3,478
