vaccine,dose,geography_type,geography,birth_year_birth_cohort,dimension_type,dimension,estimate_percent,x95_percent_ci_percent,sample_size,year
DTaP,≥4 Doses,States/Local Areas,Minnesota,2021,Age,24 Months,84.1,77.9 to 89.3,278,2023
DTaP,≥4 Doses,States/Local Areas,Minnesota,2022,Age,24 Months,91.2,84.4 to 95.9,166,2024
DTaP,≥4 Doses,States/Local Areas,Mississippi,2018,Age,24 Months,79.2,72.2 to 85.4,276,2020
DTaP,≥4 Doses,States/Local Areas,Mississippi,2019,Age,24 Months,79.4,72.1 to 85.9,324,2021
DTaP,≥4 Doses,States/Local Areas,Mississippi,2020,Age,24 Months,75.1,66.5 to 82.9,308,2022
DTaP,≥4 Doses,States/Local Areas,Mississippi,2021,Age,24 Months,76.4,68.1 to 83.9,268,2023
DTaP,≥4 Doses,States/Local Areas,Mississippi,2022,Age,24 Months,77.5,64.9 to 88.1,160,2024
DTaP,≥4 Doses,States/Local Areas,Missouri,2018,Age,24 Months,80.9,74.7 to 86.4,416,2020
DTaP,≥4 Doses,States/Local Areas,Missouri,2019,Age,24 Months,77.9,71.7 to 83.6,402,2021
DTaP,≥4 Doses,States/Local Areas,Missouri,2020,Age,24 Months,80,73.6 to 85.7,390,2022
DTaP,≥4 Doses,States/Local Areas,Missouri,2021,Age,24 Months,80.7,75.1 to 85.7,387,2023
DTaP,≥4 Doses,States/Local Areas,Missouri,2022,Age,24 Months,79,70.6 to 86.3,194,2024
DTaP,≥4 Doses,States/Local Areas,Montana,2018,Age,24 Months,80,73.3 to 86.0,233,2020
DTaP,≥4 Doses,States/Local Areas,Montana,2019,Age,24 Months,75.3,66.6 to 83.2,187,2021
DTaP,≥4 Doses,States/Local Areas,Montana,2020,Age,24 Months,70.7,63.6 to 77.6,220,2022
DTaP,≥4 Doses,States/Local Areas,Montana,2021,Age,24 Months,73.9,66.3 to 81.0,219,2023
DTaP,≥4 Doses,States/Local Areas,Montana,2022,Age,24 Months,75.3,66.2 to 83.5,154,2024
DTaP,≥4 Doses,States/Local Areas,Nebraska,2018,Age,24 Months,85,79.3 to 89.9,279,2020
DTaP,≥4 Doses,States/Local Areas,Nebraska,2019,Age,24 Months,84.8,79.3 to 89.4,259,2021
DTaP,≥4 Doses,States/Local Areas,Nebraska,2020,Age,24 Months,89.1,84.3 to 93.0,251,2022
DTaP,≥4 Doses,States/Local Areas,Nebraska,2021,Age,24 Months,82.4,76.4 to 87.7,256,2023
DTaP,≥4 Doses,States/Local Areas,Nebraska,2022,Age,24 Months,85.3,77.5 to 91.5,148,2024
DTaP,≥4 Doses,States/Local Areas,Nevada,2018,Age,24 Months,83.2,77.5 to 88.2,378,2020
DTaP,≥4 Doses,States/Local Areas,Nevada,2019,Age,24 Months,78.8,72.8 to 84.2,340,2021
DTaP,≥4 Doses,States/Local Areas,Nevada,2020,Age,24 Months,73.6,65.9 to 80.8,323,2022
DTaP,≥4 Doses,States/Local Areas,Nevada,2021,Age,24 Months,74.6,68.4 to 80.4,352,2023
DTaP,≥4 Doses,States/Local Areas,Nevada,2022,Age,24 Months,82.4,73.2 to 89.9,200,2024
DTaP,≥4 Doses,States/Local Areas,New Hampshire,2018,Age,24 Months,89.5,84.5 to 93.4,269,2020
DTaP,≥4 Doses,States/Local Areas,New Hampshire,2019,Age,24 Months,77.9,71.0 to 84.1,214,2021
DTaP,≥4 Doses,States/Local Areas,New Hampshire,2020,Age,24 Months,89.2,83.3 to 93.8,189,2022
DTaP,≥4 Doses,States/Local Areas,New Hampshire,2021,Age,24 Months,91,86.6 to 94.4,231,2023
DTaP,≥4 Doses,States/Local Areas,New Hampshire,2022,Age,24 Months,88.9,82.5 to 93.8,123,2024
DTaP,≥4 Doses,States/Local Areas,New Jersey,2018,Age,24 Months,81,73.8 to 87.2,269,2020
DTaP,≥4 Doses,States/Local Areas,New Jersey,2019,Age,24 Months,83,75.7 to 89.1,279,2021
DTaP,≥4 Doses,States/Local Areas,New Jersey,2020,Age,24 Months,83.4,76.5 to 89.2,268,2022
DTaP,≥4 Doses,States/Local Areas,New Jersey,2021,Age,24 Months,82.9,76.9 to 88.1,291,2023
DTaP,≥4 Doses,States/Local Areas,New Jersey,2022,Age,24 Months,72.5,60.6 to 83.2,172,2024
DTaP,≥4 Doses,States/Local Areas,New Mexico,2018,Age,24 Months,82.8,77.3 to 87.6,447,2020
DTaP,≥4 Doses,States/Local Areas,New Mexico,2019,Age,24 Months,83.8,78.3 to 88.5,374,2021
DTaP,≥4 Doses,States/Local Areas,New Mexico,2020,Age,24 Months,83.7,78.2 to 88.5,357,2022
DTaP,≥4 Doses,States/Local Areas,New Mexico,2021,Age,24 Months,75.2,68.7 to 81.3,352,2023
DTaP,≥4 Doses,States/Local Areas,New Mexico,2022,Age,24 Months,83,75.4 to 89.3,186,2024
DTaP,≥4 Doses,States/Local Areas,New York,2018,Age,24 Months,82.2,78.0 to 86.0,733,2020
DTaP,≥4 Doses,States/Local Areas,New York,2019,Age,24 Months,81.5,76.5 to 86.0,637,2021
DTaP,≥4 Doses,States/Local Areas,New York,2020,Age,24 Months,83.9,79.5 to 87.7,624,2022
DTaP,≥4 Doses,States/Local Areas,New York,2021,Age,24 Months,79.9,75.1 to 84.2,640,2023
DTaP,≥4 Doses,States/Local Areas,New York,2022,Age,24 Months,80.6,74.1 to 86.3,360,2024
DTaP,≥4 Doses,States/Local Areas,North Carolina,2018,Age,24 Months,83,75.3 to 89.4,271,2020
DTaP,≥4 Doses,States/Local Areas,North Carolina,2019,Age,24 Months,91.3,86.5 to 94.9,314,2021
DTaP,≥4 Doses,States/Local Areas,North Carolina,2020,Age,24 Months,80.3,74.7 to 85.3,459,2022
DTaP,≥4 Doses,States/Local Areas,North Carolina,2021,Age,24 Months,82.2,77.5 to 86.5,435,2023
DTaP,≥4 Doses,States/Local Areas,North Carolina,2022,Age,24 Months,82,74.7 to 88.2,207,2024
DTaP,≥4 Doses,States/Local Areas,North Dakota,2018,Age,24 Months,87.5,81.9 to 92.1,293,2020
DTaP,≥4 Doses,States/Local Areas,North Dakota,2019,Age,24 Months,81,73.9 to 87.2,263,2021
DTaP,≥4 Doses,States/Local Areas,North Dakota,2020,Age,24 Months,80.4,73.5 to 86.5,248,2022
DTaP,≥4 Doses,States/Local Areas,North Dakota,2021,Age,24 Months,79.5,71.9 to 86.1,233,2023
DTaP,≥4 Doses,States/Local Areas,North Dakota,2022,Age,24 Months,80,69.6 to 88.6,151,2024
