state,bill_number,bill_status,text_description,comments,bill_valency
Utah,UT SB 13,Enacted,"This education law, among various provisions, exempts students attending a home-based ""microschool"" or micro-education program from school immunization requirements.","This bill was passed in to law on March 20, 2024",Bad
Utah,UT SB 89,Not enacted,Would ensure appropriate compensation/reimbursement for vaccine administration,NA,Good
Vermont,VT H 545,Enacted,"Authorizes health commissioner to determine recommended vaccines, distancing the state from ACIP recommendations, and requires coverage without cost-sharing for vaccines recommended by commissioner",NA,Good
Vermont,VT S 64,Not enacted,Would allow optometrists to vaccinate during health emergencies,Died in committee,Good
Virginia,VA HB 983,Not enacted,Would remove hepatitis B vaccine from required immunizations and remove conditional enrollment period for students who have not received hepatitis B vaccine,NA,Bad
Virginia,VA HJ 24,Enacted,Recognizes August as Immunization Awareness Month,NA,Good
Virginia,VA HB 2189,Not enacted,"Would expand vaccine exemptions, particularly in school settings, during an epidemic",Died in committee,Bad
Virginia,VA H 1279,Enacted,"Requires the Department of Health to make the school health entrance forms, including immunization forms, more user-friendly",04/04/2024 - Enacted,Good
Virginia,VA H 2306; VA H 783,Not enacted,Would allow for religious exemptions to immunization during epidemics,Died,Bad
Washington,WA SB 5781,Not enacted,Would require vaccine communications to follow messaging provided in FDA authorization,NA,Bad
Washington,WA HB 2242,Enacted,Allows state DOH to issue immunization recommendations and related guidance and requires health plans to cover DOH-recommended preventive services,NA,Good
Washington,WA HB 1520; WA SB 5513,Not enacted,Would expand authority of pharmacists to administer vaccines,Died in committee,Good
Washington,WA HB 1531,Enacted,Preserves the ability of public officials to address communicable diseases,NA,Good
Washington,WA H 1957,Enacted,Requires preserving coverage of immunization services for children without cost sharing,03/28/2024 - Enacted,Good
West Virginia,WV HB 5338,Not enacted,Would prohibit vaccination requirements for students and teachers,NA,Bad
West Virginia,WV SB 731,Not enacted,Would remove hepatitis b and meningitis vaccine requirements,NA,Bad
West Virginia,WV SB 608,Not enacted,Would allow parents/guardians to request religious exemption with signed letter,NA,Bad
West Virginia,WV HJR 24,Not enacted,Would add the right to refuse medical procedures to state bill of rights,NA,Bad
Wisconsin,WI SB 1044,Not enacted,Would require insurers to cover vaccines no longer recommended by the federal government as long as they are recommended by AAP or AAFP and requires DHS to consider alternative recommendations when creating state vaccine schedule,Failed,Good
Wisconsin,WI AB 891,Not enacted,"Would eliminate exemptions for ""personal conviction""",Failed,Good
Wisconsin,WI SB 489,Not enacted,"Would prohibit the state from infringing on the fundamental rights of parents, including making immunization-related decisions",NA,Bad
Wisconsin,WI SB 418,Not enacted,Would establish a program to provide vaccines to individuals who are not eligible to receive the vaccines at no cost from a federal program,NA,Good
Wyoming,WY SB 162,Not enacted,Would remove certain requirements to obtain non-medical exemptions to vaccine requirements,NA,Bad
Wyoming,WY SB 24,Enacted,Allows pharmacy technicians to abstain from administering immunizations to children under 13 years,NA,Bad
Wyoming,WY HB 44,Not enacted,"Would establish parental rights in a minor child's health care, repealing a provision authorizing vaccination of a minor without parental consent",NA,Bad
