Vaccine,Dose,Geography Type,Geography,Birth Year/Birth Cohort,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
PCV,≥4 Doses,States/Local Areas,Nevada,2016,Age,35 Months,81.7,74.9 to 87.6,327
PCV,≥4 Doses,States/Local Areas,Nevada,2016-2017,Age,35 Months,80.5,75.6 to 84.9,671
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2017,Insurance Coverage,Any Medicaid,89.2,85.2 to 93.2,374
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2017,Insurance Coverage,Private Insurance Only,88.6,84.8 to 92.4,520
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2017,Race and Ethnicity,Hispanic,88.7,84.0 to 93.4,326
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",86,78.7 to 93.3,151
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2017,Race and Ethnicity,"Black, Non-Hispanic",88.6,78.7 to 98.5,66
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2017,Insurance Coverage,Uninsured,95.7,89.8 to 100.0,52
Hib,≥1 Dose,States/Local Areas,Nevada,2019,Age,3 Months,88.2,82.8 to 92.1,340
Hib,≥1 Dose,States/Local Areas,Nevada,2018,Age,3 Months,89,84.1 to 92.5,378
Hib,≥1 Dose,States/Local Areas,Nevada,2018-2019,Age,3 Months,88.6,85.1 to 91.4,718
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2017,Race and Ethnicity,"White, Non-Hispanic",89.7,86.4 to 93.0,430
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2017,Urbanicity,Living In a MSA Principal City,88.9,85.7 to 92.1,692
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2017,Urbanicity,Living In a MSA Non-Principal City,91.1,85.7 to 96.5,172
≥1 Dose Varicella,,States/Local Areas,Nevada,2014-2017,Poverty,>400% FPL,90.1,84.9 to 95.2,243
≥1 Dose Varicella,,States/Local Areas,Nevada,2014-2017,Urbanicity,Living In a MSA Non-Principal City,89.7,83.9 to 95.6,172
≥1 Dose Varicella,,States/Local Areas,Nevada,2014-2017,Urbanicity,Living In a Non-MSA,81.5,71.4 to 91.6,109
≥1 Dose Varicella,,States/Local Areas,Nevada,2014-2017,Overall,Overall,88.6,85.9 to 91.3,973
≥1 Dose Varicella,,States/Local Areas,Nevada,2014-2017,Poverty,<133% FPL,87.7,83.0 to 92.3,341
PCV,≥4 Doses,States/Local Areas,Nevada,2012,Age,24 Months,80.1,73.1 to 86.2,272
Hep B,≥3 Doses,States/Local Areas,Nevada,2011,Age,35 Months,90.8,85.9 to 94.5,293
Hep B,≥3 Doses,States/Local Areas,Nevada,2017,Age,24 Months,88.9,83.6 to 93.1,344
Hep B,≥3 Doses,States/Local Areas,Nevada,2017-2018,Age,24 Months,91.9,88.9 to 94.4,722
Hep B,≥3 Doses,States/Local Areas,Nevada,2019,Age,24 Months,90.3,85.3 to 94.2,340
PCV,≥4 Doses,States/Local Areas,Nevada,2013,Age,24 Months,80.2,73.7 to 86.0,234
PCV,≥4 Doses,States/Local Areas,Nevada,2013-2014,Age,24 Months,79.4,74.2 to 84.2,420
PCV,≥4 Doses,States/Local Areas,Nevada,2014,Age,24 Months,78.2,70.2 to 85.3,186
PCV,≥4 Doses,States/Local Areas,Nevada,2014-2015,Age,24 Months,76.1,70.8 to 81.1,439
≥1 Dose MMR,,States/Local Areas,Nevada,2019,Age,24 Months,89.3,84.3 to 93.2,340
≥1 Dose MMR,,States/Local Areas,Nevada,2012,Age,35 Months,92.5,87.0 to 96.2,272
≥1 Dose MMR,,States/Local Areas,Nevada,2011,Age,35 Months,93.5,89.2 to 96.5,293
≥1 Dose MMR,,States/Local Areas,Nevada,2013,Age,35 Months,97.5,94.6 to 99.1,234
≥1 Dose MMR,,States/Local Areas,Nevada,2013-2014,Age,35 Months,95.3,91.8 to 97.7,420
≥1 Dose Varicella,,States/Local Areas,Nevada,2016,Age,35 Months,91.8,86.8 to 95.4,327
≥1 Dose Varicella,,States/Local Areas,Nevada,2016-2017,Age,35 Months,91.9,88.4 to 94.6,671
≥1 Dose Varicella,,States/Local Areas,Nevada,2014-2017,Poverty,133% to <400% FPL,88.9,84.8 to 92.9,389
Hep B,≥3 Doses,States/Local Areas,Nevada,2014-2017,Insurance Coverage,Any Medicaid,87.5,83.6 to 91.3,374
≥1 Dose Varicella,,States/Local Areas,Nevada,2014-2017,Race and Ethnicity,Hispanic,88.6,83.9 to 93.4,326
Hep B,≥2 Doses,States/Local Areas,Nevada,2018,Age,7 Months,95.8,92.6 to 97.6,378
Hep B,≥2 Doses,States/Local Areas,Nevada,2018-2019,Age,7 Months,94,91.2 to 95.9,718
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2019,Age,0-2 Days,82.5,76.8 to 87.0,340
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2018,Age,0-2 Days,81.2,75.5 to 85.9,378
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2018-2019,Age,0-2 Days,81.8,77.9 to 85.2,718
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2017,Age,0-2 Days,74.3,67.5 to 80.1,344
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2017-2018,Age,0-2 Days,77.8,73.4 to 81.6,722
≥1 Dose Varicella,,States/Local Areas,Nevada,2017,Age,35 Months,92.1,87.0 to 95.8,344
≥1 Dose Varicella,,States/Local Areas,Nevada,2017-2018,Age,35 Months,93.8,90.6 to 96.2,722
Hep B,≥3 Doses,States/Local Areas,Nevada,2018,Age,24 Months,94.9,91.8 to 97.1,378
Hep B,≥3 Doses,States/Local Areas,Nevada,2018-2019,Age,24 Months,92.7,89.7 to 95.0,718
PCV,≥3 Doses,States/Local Areas,Nevada,2015,Age,13 Months,84.8,78.5 to 89.4,253
PCV,≥3 Doses,States/Local Areas,Nevada,2015-2016,Age,13 Months,82.4,78.0 to 86.0,580
PCV,≥3 Doses,States/Local Areas,Nevada,2014,Age,13 Months,84.8,77.4 to 90.1,186
PCV,≥3 Doses,States/Local Areas,Nevada,2014-2015,Age,13 Months,84.8,80.2 to 88.5,439
Hep B,≥2 Doses,States/Local Areas,Nevada,2017,Age,7 Months,89.9,84.6 to 93.5,344
Hep B,≥2 Doses,States/Local Areas,Nevada,2017-2018,Age,7 Months,92.8,89.9 to 95.0,722
PCV,≥3 Doses,States/Local Areas,Nevada,2013,Age,13 Months,89.8,86.4 to 92.5,234
PCV,≥3 Doses,States/Local Areas,Nevada,2013-2014,Age,13 Months,87.3,84.0 to 90.0,420
Hep B,≥2 Doses,States/Local Areas,Nevada,2016,Age,7 Months,88.4,82.7 to 92.4,327
Hep B,≥2 Doses,States/Local Areas,Nevada,2016-2017,Age,7 Months,89.2,85.4 to 92.1,671
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2016,Age,0-2 Days,76.3,69.8 to 81.7,327
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2016-2017,Age,0-2 Days,75.3,70.7 to 79.4,671
≥1 Dose Varicella,,States/Local Areas,Nevada,2013,Age,35 Months,96.6,92.6 to 98.8,234
≥1 Dose Varicella,,States/Local Areas,Nevada,2013-2014,Age,35 Months,94.8,91.1 to 97.3,420
≥1 Dose MMR,,States/Local Areas,Nevada,2018,Age,24 Months,92.2,87.7 to 95.5,378
≥1 Dose MMR,,States/Local Areas,Nevada,2018-2019,Age,24 Months,90.8,87.5 to 93.5,718
PCV,≥4 Doses,States/Local Areas,Nevada,2019,Age,19 Months,77.5,71.0 to 82.9,340
≥1 Dose Varicella,,States/Local Areas,Nevada,2014,Age,35 Months,91.8,84.8 to 96.4,186
≥1 Dose Varicella,,States/Local Areas,Nevada,2014-2015,Age,35 Months,92.4,88.7 to 95.2,439
≥1 Dose Varicella,,States/Local Areas,Nevada,2015,Age,35 Months,93,88.9 to 96.0,253
≥1 Dose Varicella,,States/Local Areas,Nevada,2015-2016,Age,35 Months,92.4,89.3 to 94.8,580
PCV,≥4 Doses,States/Local Areas,Nevada,2011,Age,24 Months,73.3,66.7 to 79.6,293
Hib,Primary Series,States/Local Areas,Nevada,2020,Age,24 Months,88.2,81.2 to 93.5,323
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2015,Age,0-2 Days,75.8,68.2 to 82.0,253
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2015-2016,Age,0-2 Days,76,71.2 to 80.3,580
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2014,Age,0-2 Days,70.3,61.3 to 77.9,186
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2014-2015,Age,0-2 Days,73,67.3 to 78.1,439
Hep B,≥3 Doses,States/Local Areas,Nevada,2014,Age,24 Months,87.5,81.0 to 92.6,186
Hep B,≥3 Doses,States/Local Areas,Nevada,2014-2015,Age,24 Months,89.4,85.5 to 92.5,439
Hep B,≥3 Doses,States/Local Areas,Nevada,2015,Age,24 Months,91.2,86.8 to 94.6,253
Hep B,≥3 Doses,States/Local Areas,Nevada,2015-2016,Age,24 Months,90.3,87.0 to 93.0,580
Hep B,≥3 Doses,States/Local Areas,Nevada,2016,Age,24 Months,89.4,84.3 to 93.3,327
Hep B,≥3 Doses,States/Local Areas,Nevada,2016-2017,Age,24 Months,89.2,85.6 to 92.2,671
PCV,≥3 Doses,States/Local Areas,Nevada,2012,Age,13 Months,84.6,78.7 to 89.1,272
≥1 Dose MMR,,States/Local Areas,Nevada,2016,Age,24 Months,87.8,82.5 to 92.1,327
≥1 Dose MMR,,States/Local Areas,Nevada,2016-2017,Age,24 Months,89.4,85.9 to 92.3,671
≥1 Dose MMR,,States/Local Areas,Nevada,2017,Age,24 Months,90.8,86.0 to 94.5,344
≥1 Dose MMR,,States/Local Areas,Nevada,2017-2018,Age,24 Months,91.5,88.4 to 94.1,722
PCV,≥4 Doses,States/Local Areas,Nevada,2018,Age,19 Months,78.3,71.9 to 83.6,378
PCV,≥4 Doses,States/Local Areas,Nevada,2018-2019,Age,19 Months,78.7,73.8 to 83.0,594
PCV,≥4 Doses,States/Local Areas,Nevada,2017,Age,19 Months,70.8,63.5 to 77.2,344
PCV,≥4 Doses,States/Local Areas,Nevada,2017-2018,Age,19 Months,74.6,69.8 to 78.8,722
PCV,≥3 Doses,States/Local Areas,Nevada,2011,Age,13 Months,82.2,79.1 to 84.9,293
PCV,≥3 Doses,States/Local Areas,Nevada,2019,Age,7 Months,67.3,60.3 to 73.6,340
PCV,≥3 Doses,States/Local Areas,Nevada,2018,Age,7 Months,70.4,64.0 to 76.2,378
PCV,≥3 Doses,States/Local Areas,Nevada,2018-2019,Age,7 Months,68.9,64.2 to 73.2,718
Hep B,≥2 Doses,States/Local Areas,Nevada,2012,Age,7 Months,90.6,85.1 to 94.2,272
Hep B,≥2 Doses,States/Local Areas,Nevada,2015,Age,7 Months,91.3,86.4 to 94.6,253
Hep B,≥2 Doses,States/Local Areas,Nevada,2015-2016,Age,7 Months,89.9,86.3 to 92.6,580
Hep B,≥2 Doses,States/Local Areas,Nevada,2014,Age,7 Months,86.9,79.5 to 91.9,186
Hep B,≥2 Doses,States/Local Areas,Nevada,2014-2015,Age,7 Months,89.1,84.9 to 92.3,439
Hep B,≥2 Doses,States/Local Areas,Nevada,2013,Age,7 Months,90.3,85.8 to 93.4,234
Hep B,≥2 Doses,States/Local Areas,Nevada,2013-2014,Age,7 Months,88.6,83.2 to 92.4,420
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2012,Age,0-2 Days,80.1,73.6 to 85.4,272
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2013,Age,0-2 Days,70.7,62.4 to 77.8,234
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2013-2014,Age,0-2 Days,70.5,64.5 to 75.9,420
Hep B,"≥1 Dose, 2 Day",States/Local Areas,Nevada,2011,Age,0-2 Days,77,67.6 to 84.3,293
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2019,Age,0-1 Days,79.3,73.5 to 84.2,340
Hep B,≥3 Doses,States/Local Areas,Nevada,2011,Age,24 Months,88.6,83.3 to 92.8,293
Hep B,≥3 Doses,States/Local Areas,Nevada,2019,Age,19 Months,89.5,84.0 to 93.3,340
Hep B,≥3 Doses,States/Local Areas,Nevada,2013,Age,24 Months,89.4,83.7 to 93.8,234
Hep B,≥3 Doses,States/Local Areas,Nevada,2013-2014,Age,24 Months,88.5,84.3 to 92.0,420
Hep B,≥3 Doses,States/Local Areas,Nevada,2012,Age,24 Months,89.3,83.6 to 93.7,272
PCV,≥3 Doses,States/Local Areas,Nevada,2016,Age,7 Months,62.3,55.1 to 69.1,327
PCV,≥3 Doses,States/Local Areas,Nevada,2016-2017,Age,7 Months,61,55.7 to 66.0,671
PCV,≥4 Doses,States/Local Areas,Nevada,2016,Age,19 Months,71.2,64.2 to 77.3,327
PCV,≥4 Doses,States/Local Areas,Nevada,2016-2017,Age,19 Months,71,66.0 to 75.5,671
PCV,≥4 Doses,States/Local Areas,Nevada,2015,Age,19 Months,70.6,64.1 to 76.4,253
PCV,≥4 Doses,States/Local Areas,Nevada,2015-2016,Age,19 Months,70.9,65.9 to 75.5,580
PCV,≥4 Doses,States/Local Areas,Nevada,2014,Age,19 Months,68.4,59.1 to 76.5,186
PCV,≥4 Doses,States/Local Areas,Nevada,2014-2015,Age,19 Months,69.5,63.7 to 74.8,439
PCV,≥3 Doses,States/Local Areas,Nevada,2015,Age,7 Months,52.8,45.2 to 60.4,253
PCV,≥3 Doses,States/Local Areas,Nevada,2015-2016,Age,7 Months,57.6,52.3 to 62.7,580
PCV,≥3 Doses,States/Local Areas,Nevada,2017,Age,7 Months,59.6,52.0 to 66.8,344
PCV,≥3 Doses,States/Local Areas,Nevada,2017-2018,Age,7 Months,65,60.0 to 69.7,722
≥1 Dose MMR,,States/Local Areas,Nevada,2013,Age,24 Months,93.8,89.4 to 96.9,234
≥1 Dose MMR,,States/Local Areas,Nevada,2013-2014,Age,24 Months,92,88.5 to 94.8,420
≥1 Dose MMR,,States/Local Areas,Nevada,2014,Age,24 Months,90.1,84.4 to 94.4,186
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2015,Age,24 Months,89.9,86.2 to 92.9,439
≥1 Dose MMR,,States/Local Areas,Nevada,2015,Age,24 Months,89.5,84.5 to 93.4,253
≥1 Dose MMR,,States/Local Areas,Nevada,2015-2016,Age,24 Months,88.6,85.1 to 91.7,580
≥1 Dose Varicella,,States/Local Areas,Nevada,2018,Age,24 Months,92.8,88.5 to 95.9,378
≥1 Dose Varicella,,States/Local Areas,Nevada,2018-2019,Age,24 Months,91.1,87.9 to 93.7,718
≥1 Dose Varicella,,States/Local Areas,Nevada,2012,Age,35 Months,91.1,85.2 to 95.4,272
≥1 Dose Varicella,,States/Local Areas,Nevada,2011,Age,35 Months,97.9,92.2 to 99.7,293
≥1 Dose Varicella,,States/Local Areas,Nevada,2019,Age,24 Months,89.3,84.4 to 93.2,340
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2015,Age,0-1 Days,74.1,66.5 to 80.4,253
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2015-2016,Age,0-1 Days,74.1,69.2 to 78.5,580
Hep B,≥2 Doses,States/Local Areas,Nevada,2015,Age,5 Months,85.9,79.9 to 90.3,253
Hep B,≥2 Doses,States/Local Areas,Nevada,2015-2016,Age,5 Months,85.3,81.2 to 88.6,580
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2014,Age,0-1 Days,65.8,56.6 to 74.0,186
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2014-2015,Age,0-1 Days,70,64.1 to 75.3,439
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2013,Age,0-1 Days,68.1,58.3 to 76.5,234
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2013-2014,Age,0-1 Days,67,61.3 to 72.1,420
≥1 Dose Varicella,,States/Local Areas,Nevada,2013,Age,24 Months,92.1,87.0 to 95.8,234
≥1 Dose Varicella,,States/Local Areas,Nevada,2013-2014,Age,24 Months,90.8,87.1 to 93.8,420
≥1 Dose Varicella,,States/Local Areas,Nevada,2014,Age,24 Months,89.4,83.6 to 93.8,186
≥1 Dose Varicella,,States/Local Areas,Nevada,2014-2015,Age,24 Months,89.8,86.2 to 92.9,439
≥1 Dose Varicella,,States/Local Areas,Nevada,2019,Age,19 Months,84.8,78.9 to 89.3,340
Polio,≥2 Doses,States/Local Areas,Nevada,2019,Age,13 Months,91.5,86.0 to 95.0,340
Polio,≥2 Doses,States/Local Areas,Nevada,2018,Age,13 Months,94.5,89.9 to 97.1,378
Polio,≥2 Doses,States/Local Areas,Nevada,2018-2019,Age,13 Months,93,89.6 to 95.3,718
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2012,Age,0-1 Days,79,72.3 to 84.4,272
Hep B,≥2 Doses,States/Local Areas,Nevada,2014,Age,5 Months,81.2,72.9 to 87.4,186
Hep B,≥2 Doses,States/Local Areas,Nevada,2014-2015,Age,5 Months,83.5,77.1 to 88.4,439
Hep B,≥2 Doses,States/Local Areas,Nevada,2016,Age,5 Months,84.7,78.7 to 89.2,327
Hep B,≥2 Doses,States/Local Areas,Nevada,2016-2017,Age,5 Months,85.6,81.5 to 88.9,671
Hep B,≥3 Doses,States/Local Areas,Nevada,2018,Age,19 Months,94.8,91.4 to 96.9,378
Hep B,≥3 Doses,States/Local Areas,Nevada,2018-2019,Age,19 Months,90.3,86.8 to 92.9,718
Hep B,≥3 Doses,States/Local Areas,Nevada,2017,Age,19 Months,87.5,81.6 to 91.6,344
Hep B,≥3 Doses,States/Local Areas,Nevada,2017-2018,Age,19 Months,91.1,87.8 to 93.6,722
PCV,≥3 Doses,States/Local Areas,Nevada,2012,Age,7 Months,57.9,53.0 to 62.7,272
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Poverty,133% to <400% FPL,74.7,69.1 to 80.3,389
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Poverty,>400% FPL,83.3,76.6 to 90.1,243
PCV,≥3 Doses,States/Local Areas,Nevada,2014,Age,7 Months,61.9,52.8 to 70.3,186
PCV,≥3 Doses,States/Local Areas,Nevada,2014-2015,Age,7 Months,57.3,51.4 to 63.1,439
Hep B,≥3 Doses,States/Local Areas,Nevada,2016,Age,19 Months,89.2,83.8 to 93.0,327
Hep B,≥3 Doses,States/Local Areas,Nevada,2016-2017,Age,19 Months,88.3,84.5 to 91.3,671
PCV,≥3 Doses,States/Local Areas,Nevada,2011,Age,7 Months,53.3,49.5 to 57.1,293
PCV,≥3 Doses,States/Local Areas,Nevada,2013,Age,7 Months,62,53.5 to 69.9,234
PCV,≥3 Doses,States/Local Areas,Nevada,2013-2014,Age,7 Months,62,56.5 to 67.1,420
≥1 Dose Varicella,,States/Local Areas,Nevada,2017,Age,24 Months,90.5,85.6 to 94.3,344
≥1 Dose Varicella,,States/Local Areas,Nevada,2017-2018,Age,24 Months,91.6,88.5 to 94.2,722
≥1 Dose Varicella,,States/Local Areas,Nevada,2016,Age,24 Months,87.5,82.2 to 91.8,327
≥1 Dose Varicella,,States/Local Areas,Nevada,2016-2017,Age,24 Months,89,85.5 to 92.1,671
≥1 Dose Varicella,,States/Local Areas,Nevada,2015,Age,24 Months,90.1,85.3 to 93.8,253
≥1 Dose Varicella,,States/Local Areas,Nevada,2015-2016,Age,24 Months,88.8,85.3 to 91.8,580
≥1 Dose MMR,,States/Local Areas,Nevada,2012,Age,24 Months,86.8,80.7 to 91.8,272
≥1 Dose MMR,,States/Local Areas,Nevada,2011,Age,24 Months,90,85.2 to 93.7,293
≥1 Dose MMR,,States/Local Areas,Nevada,2019,Age,19 Months,84.4,78.4 to 88.9,340
≥1 Dose MMR,,States/Local Areas,Nevada,2018,Age,19 Months,89.1,83.7 to 92.9,378
≥1 Dose MMR,,States/Local Areas,Nevada,2018-2019,Age,19 Months,93.2,89.9 to 95.4,718
PCV,≥4 Doses,States/Local Areas,Nevada,2011,Age,19 Months,68.1,65.7 to 70.4,293
PCV,≥4 Doses,States/Local Areas,Nevada,2012,Age,19 Months,72.6,62.9 to 80.5,272
PCV,≥4 Doses,States/Local Areas,Nevada,2013,Age,19 Months,76.6,72.9 to 79.9,234
PCV,≥4 Doses,States/Local Areas,Nevada,2013-2014,Age,19 Months,72.5,66.6 to 77.7,420
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2018,Age,0-1 Days,78.1,72.3 to 83.0,378
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2018-2019,Age,0-1 Days,78.7,74.7 to 82.3,718
Hep B,≥2 Doses,States/Local Areas,Nevada,2018,Age,5 Months,93.7,90.2 to 96.0,378
Hep B,≥2 Doses,States/Local Areas,Nevada,2018-2019,Age,5 Months,90.4,87.1 to 93.0,718
Hep B,≥2 Doses,States/Local Areas,Nevada,2017,Age,5 Months,86.6,80.6 to 90.9,344
Hep B,≥2 Doses,States/Local Areas,Nevada,2017-2018,Age,5 Months,90.1,86.8 to 92.7,722
PCV,≥4 Doses,States/Local Areas,Nevada,2020,Age,35 Months,80.7,72.5 to 87.8,323
Hep B,≥2 Doses,States/Local Areas,Nevada,2011,Age,7 Months,93.2,90.4 to 95.3,293
Hep B,≥2 Doses,States/Local Areas,Nevada,2019,Age,5 Months,87.1,81.2 to 91.4,340
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2017,Age,0-1 Days,70.5,63.5 to 76.7,344
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2017-2018,Age,0-1 Days,74.3,69.8 to 78.4,722
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2016,Age,0-1 Days,74.2,67.7 to 79.9,327
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2016-2017,Age,0-1 Days,72.4,67.6 to 76.7,671
Polio,≥2 Doses,States/Local Areas,Nevada,2017,Age,13 Months,90.7,85.3 to 94.3,344
Polio,≥2 Doses,States/Local Areas,Nevada,2017-2018,Age,13 Months,92.6,89.3 to 95.0,722
Polio,≥2 Doses,States/Local Areas,Nevada,2016,Age,13 Months,88.2,82.4 to 92.2,327
Polio,≥2 Doses,States/Local Areas,Nevada,2016-2017,Age,13 Months,89.5,85.7 to 92.3,671
Polio,≥2 Doses,States/Local Areas,Nevada,2015,Age,13 Months,92.5,88.0 to 95.4,253
Polio,≥2 Doses,States/Local Areas,Nevada,2015-2016,Age,13 Months,90.3,86.9 to 93.0,580
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Race and Ethnicity,Hispanic,73.8,67.6 to 79.9,326
≥1 Dose Varicella,,States/Local Areas,Nevada,2018,Age,19 Months,90.4,85.4 to 93.8,378
≥1 Dose Varicella,,States/Local Areas,Nevada,2018-2019,Age,19 Months,64.2,59.4 to 68.8,718
≥1 Dose Varicella,,States/Local Areas,Nevada,2017,Age,19 Months,85.3,79.1 to 89.9,344
≥1 Dose Varicella,,States/Local Areas,Nevada,2017-2018,Age,19 Months,87.8,84.0 to 90.9,722
≥1 Dose MMR,,States/Local Areas,Nevada,2012,Age,19 Months,83.5,74.9 to 89.6,272
≥1 Dose MMR,,States/Local Areas,Nevada,2014,Age,19 Months,79.5,70.3 to 86.3,186
≥1 Dose MMR,,States/Local Areas,Nevada,2014-2015,Age,19 Months,82.9,77.7 to 87.2,439
≥1 Dose MMR,,States/Local Areas,Nevada,2013,Age,19 Months,90.5,85.7 to 93.9,234
≥1 Dose MMR,,States/Local Areas,Nevada,2013-2014,Age,19 Months,85,79.6 to 89.1,420
≥1 Dose MMR,,States/Local Areas,Nevada,2011,Age,19 Months,86,83.7 to 88.0,293
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Insurance Coverage,Uninsured,74.1,57.7 to 90.5,52
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Race and Ethnicity,"Black, Non-Hispanic",65.8,52.4 to 79.1,66
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Insurance Coverage,Private Insurance Only,78.1,73.1 to 83.0,520
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Insurance Coverage,Any Medicaid,74.7,69.3 to 80.1,374
DTaP,≥4 Doses,States/Local Areas,Nevada,2019,Age,35 Months,81.6,75.0 to 87.4,340
Hep B,≥3 Doses,States/Local Areas,Nevada,2015,Age,19 Months,90.9,84.6 to 94.8,253
Hep B,≥3 Doses,States/Local Areas,Nevada,2015-2016,Age,19 Months,90,86.6 to 92.7,580
Hep B,≥3 Doses,States/Local Areas,Nevada,2014,Age,19 Months,86.7,79.5 to 91.6,186
Hep B,≥3 Doses,States/Local Areas,Nevada,2014-2015,Age,19 Months,88.8,84.7 to 91.9,439
Hep A,≥2 Doses,States/Local Areas,Nevada,2014-2017,Poverty,>400% FPL,84.4,74.1 to 94.8,243
Hep B,≥3 Doses,States/Local Areas,Nevada,2013,Age,19 Months,88.3,81.8 to 92.7,234
Hep B,≥3 Doses,States/Local Areas,Nevada,2013-2014,Age,19 Months,87.5,80.1 to 92.4,420
Hep B,≥2 Doses,States/Local Areas,Nevada,2013,Age,5 Months,86.7,83.4 to 89.5,234
Hep B,≥2 Doses,States/Local Areas,Nevada,2013-2014,Age,5 Months,83.9,78.8 to 88.0,420
Hep B,≥2 Doses,States/Local Areas,Nevada,2011,Age,5 Months,85.4,80.5 to 89.3,293
Hep B,≥2 Doses,States/Local Areas,Nevada,2012,Age,5 Months,87,83.1 to 90.2,272
Hep B,"≥1 Dose, 1 Day",States/Local Areas,Nevada,2011,Age,0-1 Days,73.7,62.5 to 82.4,293
Hep A,≥2 Doses,States/Local Areas,Nevada,2014-2017,Poverty,133% to <400% FPL,79.9,72.5 to 87.2,389
Hep B,≥1 Dose,States/Local Areas,Nevada,2019,Age,3 Months,97.3,93.6 to 98.9,340
Hep B,≥1 Dose,States/Local Areas,Nevada,2018,Age,3 Months,97.3,95.1 to 98.5,378
Hep B,≥1 Dose,States/Local Areas,Nevada,2018-2019,Age,3 Months,97.3,95.3 to 98.5,718
≥1 Dose Varicella,,States/Local Areas,Nevada,2012,Age,24 Months,85.1,78.8 to 90.4,272
≥1 Dose Varicella,,States/Local Areas,Nevada,2011,Age,24 Months,89.2,84.1 to 93.2,293
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Poverty,<133% FPL,72.3,66.3 to 78.3,341
≥1 Dose MMR,,States/Local Areas,Nevada,2017,Age,19 Months,84.6,78.5 to 89.3,344
≥1 Dose MMR,,States/Local Areas,Nevada,2017-2018,Age,19 Months,86.9,82.9 to 90.0,722
≥1 Dose MMR,,States/Local Areas,Nevada,2016,Age,19 Months,86.3,80.5 to 90.6,327
≥1 Dose MMR,,States/Local Areas,Nevada,2016-2017,Age,19 Months,85.5,81.4 to 88.8,671
≥1 Dose MMR,,States/Local Areas,Nevada,2015,Age,19 Months,86.4,82.5 to 89.5,253
≥1 Dose MMR,,States/Local Areas,Nevada,2015-2016,Age,19 Months,86.3,82.4 to 89.5,580
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Urbanicity,Living In a MSA Non-Principal City,75.9,67.5 to 84.3,172
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Urbanicity,Living In a MSA Principal City,76.4,72.2 to 80.7,692
DTaP,≥4 Doses,States/Local Areas,Nevada,2014-2017,Overall,Overall,75.3,71.7 to 78.9,973
