state,bill_number,1_include_in_brief,1_enacted_0_not_enacted,1_good_0_bad,text_description,comments
Idaho,ID H91,NA,1,0,Repeal the Idaho Childhood Immunization Policy Commission,NA
Idaho,ID S 1023,NA,0,0,Prohibit the mandate of any medical intervention by the state,Vetoed - Idaho Senators introduced a new bill ID S 1210 and House reintroduced their own version ID H 472
Idaho,ID H597,0,1,0,Allows students of majority age to submit their own non-medical exemptions from school immunization requirements.,NA
Idaho,ID S 1038,0,1,0,Prohibits the state from being compelled to engaged in the enforcement of requirements or mandates issued by WHO.,NA
Idaho,ID SB 1210,1,1,0,"Prohibits the mandate of any medical interventions, including vaccines, in the state (excluding facilities who receive Medicaid/Medicare and [pending legal interpretation] schools).",NA
Idaho,ID SC R102,0,1,NA,"Establishes a legislative committee to study the state's response to the COVID-19 pandemic, noting as justification for the study that ""there is a rapidly growing increase in credible clinical and medical research data indicating the COVID-19 vaccines are not efficacious and are potentially dangerous""",NA
Illinois,IL HB 1073,0,0,NA,Amend the college/university Tdap vaccine requirement to allow 1 dose in the last 10 years (instead of all 3 required doses) if the student is in the process of completing catchup,Passed both chambers; sent to the governor
Illinois,IL HB 2600,0,NA,0,"Creates the COVID-19 vaccination employer mandate prohibition act, provides that it is unlawful for an employer in the State of Illinois to create, implement, or otherwise enforce a workplace vaccination program that requires any employee to demonstrate to the employer that he or she has received or its related booster that was approved under emergency use authorization by the United States Food and Drug Administration.",25% progression
Illinois,IL HB 4929,0,1,1,"Licensed optometrist may independently administer the influenza vaccine, the COVID-19 vaccine, or the shingles vaccine upon completion of the required training. The vaccination for influenza and COVID-19 shall be limited to patients 5 years of age and older.",NA
Illinois,IL HB 5853,NA,0,NA,Allow 1 Tdap vaccine in the past year to satisfy the college vaccine requirement (instead of 3 documented doses).,Failed to passed
Illinois,IL SR 213,1,0,1,Urges government stakeholders to work with clinicians and families to ensure children are fully vaccinated before starting school,NA
Illinois,IL SB 2286,NA,NA,1,A health insurer issuer or a contracted utilization review organization may not require prior authorization for preventive health services recommended by a health care professional.,25% progression
Illinois,IL HR 129,1,1,1,Declares a specified date as Vaccine Awareness Day to educate the public about the importance of vaccines and urges the Department of Health to continue prioritizing and investing in immunization,
Illinois,IL SB 2494,NA,0,NA,Specify that respiratory care practitioners with appropriate training are allowed to vaccinate those 18 years and older,Passed both chambers
Illinois,IL SB 2744,NA,0,1,"Prohibit insurers from having any form of cost sharing (including deductible, coinsurance, copayment, or any other cost-sharing requirement) for vaccine administration.",Failed to passed
Illinois,IL HB 1569,1,0,1,"Would require health providers to administer a vaccine to a patient who is requesting it, as long as the provider has deemed it medically necessary and there is at least one dose available",
Indiana,IN HB 1168,1,0,0,Would prohibit vaccine mandates across settings,Died in committee
Indiana,IN HB 1071,1,0,0,Would expand non-medical exemptions,
Indiana,IN HB 1344,1,0,0,Would establish state-level vaccination adverse event reporting system,Died in committee
Indiana,IN SB 96,0,0,1,Would allow pharmacists to administer any ACIP-recommended vaccines,Died in committee
Iowa,IA HF 2298,0,1,0,"Prohibits the requirement for COVID-19 vaccine in child care centers or school prior to July 1, 2029",Formerly HF2040 - passed the house and moved to the senate (cannot find on Legiscan for update)
Iowa,IA HF 299,1,1,0,Requires any public communications about vaccines requirements to include information about vaccine exemptions,NA
Iowa,IA HF 2041,1,0,0,Would require parents to opt-in to statewide immunization registry,
Iowa,IA HF 88,1,0,0,Would remove requirement that children receiving independent private instruction provide proof of immunization to the state,
Iowa,IA HF 2055,1,0,0,Would eliminate vaccination requirements for child care centers and elementary/secondary schools,
